Activity,Type,Start,Distance,Time,Avg Speed,Max Speed,Elevation Gain,Avg HR,Max HR,Resting HR,Calories,Steps
Daily,Daily,"Sat, 10 Jun 2017 23:59",,,,,,,,54,2138,14477
Hannover Cycling,Cycling,"Sat, 10 Jun 2017 10:16",5.28,00:17:51,17.7,25.9,10,126,142,,124,
Morning - Rung 17,Other,"Sat, 10 Jun 2017 7:54",0,00:06:44,0,18.9,--,109,134,,36,
Daily,Daily,"Fri, 9 Jun 2017 23:59",,,,,,,,50,2177,12064
Morning - Rest Rung 17,Other,"Fri, 9 Jun 2017 7:01",0,00:02:48,0,6.4,--,112,119,,17,
Hannover Running,Running,"Fri, 9 Jun 2017 6:32",3.41,00:23:48,06:58,04:03,6,150,186,,216,
Daily,Daily,"Thu, 8 Jun 2017 23:59",,,,,,,,55,1964,8938
Flexibility Yoga,Yoga,"Thu, 8 Jun 2017 20:23",0.06,00:15:02,0.2,0,--,76,94,,32,
Morning - Rung 17,Other,"Thu, 8 Jun 2017 6:20",0,00:06:58,0,24.9,--,107,137,,35,
Daily,Daily,"Wed, 7 Jun 2017 23:59",,,,,,,,52,2402,14669
Morning - Rest Rung 17,Other,"Wed, 7 Jun 2017 7:06",0,00:02:48,0,5.7,--,108,115,,15,
Hannover Running,Running,"Wed, 7 Jun 2017 6:33",4.22,00:29:30,06:59,03:52,5,154,170,,274,
Daily,Daily,"Tue, 6 Jun 2017 23:59",,,,,,,,54,1975,6868
Sworkit boulder shoulders,Strength Training,"Tue, 6 Jun 2017 18:43",0.72,00:23:27,1.8,8.1,--,99,158,,96,
Morning - Rung 17,Other,"Tue, 6 Jun 2017 6:21",0,00:06:53,0,23.6,--,101,124,,32,
Daily,Daily,"Mon, 5 Jun 2017 23:59",,,,,,,,51,2065,10822
30-20-10,Running,"Mon, 5 Jun 2017 8:27",2.26,00:16:15,07:10,03:30,--,127,165,,118,
Daily,Daily,"Sun, 4 Jun 2017 23:59",,,,,,,,52,1816,5088
Stretching Yoga,Yoga,"Sun, 4 Jun 2017 18:16",0.05,00:14:54,0.2,5.4,--,69,85,,24,
Sworkit strong legs,Strength Training,"Sun, 4 Jun 2017 17:18",0.63,00:17:47,2.1,8,--,103,127,,81,
